,Unnamed: 0.1,Unnamed: 0,x,y,frame,track_id,label,channel,z,xres,yres,zres,degree_av_rotation,degree_av_translation
99636,11184,12982,266.75941082055044,301.3397217719784,7,3613,18,w1,0.0,-6.703116786431849,4.446797441063325,0.0,0.0109527341693689,4.309320014902107
99781,14033,16188,267.4263092824769,304.58505338535434,8,3613,18,w1,0.0,-7.414329870947597,4.7066760652737685,0.0,0.0109527341693689,4.309320014902107
99867,15692,18028,268.4488940012978,304.0484982872623,9,3613,18,w1,0.0,-8.115278907478398,5.3968058255331925,0.0,0.0109527341693689,4.309320014902107
99930,16953,19434,268.1980513883049,304.7685315362533,10,3613,18,w1,0.0,-9.323476044042138,5.712289000011936,0.0,0.0109527341693689,4.309320014902107
100006,18649,21332,268.64013170713554,304.08479579745944,11,3613,18,w1,0.0,-10.29656486779237,6.182638459006967,0.0,0.0109527341693689,4.309320014902107
100235,23526,26777,265.27696078344024,302.31968923245824,14,3613,18,w1,0.0,-12.58765655884929,7.11055406278075,0.0,0.0109527341693689,4.309320014902107
100441,27545,31265,266.99811057233006,305.38564945247543,17,3613,18,w1,0.0,-14.600478948170236,8.190571081048574,0.0,0.0109527341693689,4.309320014902107
100529,29470,33413,267.51531265733576,305.59988759744186,18,3613,18,w1,0.0,-15.342139261846455,9.04522988936617,0.0,0.0109527341693689,4.309320014902107
100595,30753,34847,268.2085925152355,305.8605020177912,19,3613,18,w1,0.0,-16.076768230574146,9.123542224329526,0.0,0.0109527341693689,4.309320014902107
100672,32363,36644,268.6403893484179,305.3222131961135,20,3613,18,w1,0.0,-16.45857624372468,9.809713715247256,0.0,0.0109527341693689,4.309320014902107
100757,33974,38447,268.55100582319795,305.24701518216034,21,3613,18,w1,0.0,-17.34519001959933,10.34917236687926,0.0,0.0109527341693689,4.309320014902107
100830,35586,40248,268.8455894908579,305.3661509883435,22,3613,18,w1,0.0,-18.24939101690944,10.713193358817364,0.0,0.0109527341693689,4.309320014902107
100903,37148,41995,269.16488626655297,304.9673961816771,23,3613,18,w1,0.0,-18.65121946948807,11.26976387278097,0.0,0.0109527341693689,4.309320014902107
100980,38753,43793,269.7474167159468,305.05271030922523,24,3613,18,w1,0.0,-19.164925921614557,11.235405118336928,0.0,0.0109527341693689,4.309320014902107
101050,40309,45534,270.37795025789416,304.6355110619949,25,3613,18,w1,0.0,-19.40518892602887,11.566197057796272,0.0,0.0109527341693689,4.309320014902107
101113,41862,47272,271.17783077344035,304.8228979503938,26,3613,18,w1,0.0,-19.67104740081487,11.22317784040655,0.0,0.0109527341693689,4.309320014902107
101199,43415,49010,271.2883776766278,305.2367335189043,27,3613,18,w1,0.0,-20.180326165032,11.443419276792554,0.0,0.0109527341693689,4.309320014902107
101273,44953,50736,271.93964117017146,305.0242148962896,28,3613,18,w1,0.0,-20.543665709758614,11.503843332706197,0.0,0.0109527341693689,4.309320014902107
101341,46523,52492,272.55337104099823,304.27108939391115,29,3613,18,w1,0.0,-20.63332405384898,11.635690587693944,0.0,0.0109527341693689,4.309320014902107
101407,48035,54187,272.3654573421376,305.156441094018,30,3613,18,w1,0.0,-21.14048005086221,12.00372810106154,0.0,0.0109527341693689,4.309320014902107
101476,49567,55914,272.00214927621823,304.3295437424188,31,3613,18,w1,0.0,-21.72744179839492,12.66462678751077,0.0,0.0109527341693689,4.309320014902107
